method,iteration,loss,objective,accepted,backtracks,certified,minimum_signed_area_ratio
mu_lsqc_free,29,0.2936110706660832,,True,0,True,0.04111078726549347
mu_lsqc_free,30,0.28210002032126,,True,0,True,0.04155535705640931
mu_lsqc_free,31,0.2738314641599233,,True,0,True,0.04158730553711804
mu_lsqc_free,32,0.27641500142667874,,True,0,True,0.04317256025448456
mu_lsqc_free,33,0.269498913561837,,True,0,True,0.04532415672919585
mu_lsqc_free,34,0.26448996020419463,,True,0,True,0.04615061693893218
mu_lsqc_free,35,0.26295702605930216,,True,0,True,0.045504064751317054
mu_lsqc_free,36,0.25839991860771694,,True,0,True,0.04388200621142129
mu_lsqc_free,37,0.25395415322156306,,True,0,True,0.04273886675214974
mu_lsqc_free,38,0.25510189962799373,,True,0,True,0.04359491948032495
mu_lsqc_free,39,0.252682654351581,,True,0,True,0.04608988949443082
direct_none,0,0.2487654574982403,0.2487654574982403,True,0,False,-0.9199982608554602
direct_none,1,0.2051275908630237,0.2051275908630237,True,0,False,-1.5374287464870577
direct_none,2,0.09415967988270885,0.09415967988270885,True,0,False,-3.2367438796142616
direct_none,3,0.03794653614109755,0.03794653614109755,True,0,False,-4.806464672890387
