control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
17,4,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,81083392,102760448,1100500992,7.47258520056855,True,0.3079580254852772,0.2272429931908846,0.5352899823337793,9.312908272390995e-06,0,0.000994869995967207,True,bicgstab,0,28,9.31732665776508e-06,stationary_fallback,1,464,9.94986930891173e-06,BiCGStab breakdown: nonfinite dot-product scale,8,8
17,4,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,66820608,92274688,1132105728,4.259512392696909,True,0.6237685289233923,0.3152267597615719,0.9390746243298054,9.312908272390995e-06,0,0.000988245257323328,True,bicgstab,0,28,9.31732665776508e-06,bicgstab|stationary_fallback,1,468,9.978743946703617e-06,BiCGStab breakdown in shadow residual,16,16
17,4,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,266574336,339738624,1158918144,3.892735068720892,True,0.6069052238017321,0.4205669742077589,1.0275551583617926,9.312908272390995e-06,0,0.000988245257323328,True,bicgstab,0,28,9.31732665776508e-06,bicgstab|stationary_fallback,1,468,9.924537152983248e-06,BiCGStab breakdown: nonfinite dot-product scale,16,16
17,4,4,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,105854464,113246208,1140678656,2.226151981053686,True,1.2730480320751667,0.5236872434616089,1.796822514384985,9.940458948892707e-06,0,0.000988245257323328,True,bicgstab,0,29,9.935091838997323e-06,bicgstab,0,37,9.933249202731531e-06,,32,32
17,4,4,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,411514368,488636416,1185566720,2.3053173329058008,True,1.2501105312258005,0.484929284080863,1.735119041055441,9.940458948892707e-06,0,0.000988245257323328,True,bicgstab,0,29,9.935091838997323e-06,bicgstab,0,35,9.811516974878032e-06,,32,32
17,8,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,29884416,35651584,1092571136,12.500957614116647,True,0.486751364544034,0.1531088389456272,0.6399509739130735,9.43208229304477e-06,0,0.000994869995967207,True,bicgstab,0,27,9.431759281142149e-06,bicgstab,0,29,9.787268027139362e-06,,16,16
17,8,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,114713600,174063616,1101987840,12.395470491471794,True,0.5080656036734581,0.13721415027976036,0.6453970428556204,9.43208229304477e-06,0,0.000994869995967207,True,bicgstab,0,27,9.431759281142149e-06,bicgstab,0,33,9.495865015196614e-06,,16,16
17,8,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,131703296,171966464,1133785088,5.647081197015512,True,1.0205237921327353,0.39606553316116333,1.4166610538959503,9.77304179224969e-06,0,0.000988245257323328,True,bicgstab,0,28,9.761388355400413e-06,bicgstab,0,32,9.899990800477099e-06,,32,32
17,8,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,524657152,744488960,1160019968,5.866824169943512,True,1.010278843343258,0.3532069977372885,1.363599754869938,9.77304179224969e-06,0,0.000988245257323328,True,bicgstab,0,28,9.761388355400413e-06,bicgstab,0,40,9.731639693200123e-06,,32,32
17,8,4,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,204424704,251658240,1140465664,2.8640258798203124,True,2.029352154582739,0.7638438250869513,2.7932708486914635,9.940458948892707e-06,0,0.000988245257323328,True,bicgstab,0,28,9.935091838997323e-06,bicgstab|stationary_fallback,1,463,9.980724826164078e-06,BiCGStab breakdown: nonfinite dot-product scale,64,64
