kind,name,control,seed,strength,resolution,status,eligible_ground_truth,continuous_determinant_lower_bound,independent_minimum_signed_area,independent_minimum_area_ratio,flip_count,global_injectivity_certificate,mu_p95,mu_max,supported_probability_min,supported_probability_max,unit_square_sampling_compatible,image_min,image_max,identity_max_error,positive_x_shift_max_error,pair_bilinear_oracle_max_error,sampling_tolerance,error
analytic,rotation_stretch,17,,,,ok,True,0.9774999999999999,0.0019091796874999884,0.977499999999994,0,True,0.15000000000000085,0.15000000000000227,,,False,,,,,,,
analytic,twist,17,,,,ok,True,1.0,0.0018737655814801692,0.9593679777178467,0,True,0.2105754356210639,0.2719814731821446,,,False,,,,,,,
analytic,sinusoidal_shear,17,,,,ok,True,1.0,0.0019531249999999965,0.9999999999999982,0,True,0.2378865406420256,0.237886540642026,,,False,,,,,,,
analytic,local_compression,17,,,,ok,True,0.5625,0.0011222160145020115,0.5745745994250299,0,True,0.09744468199485919,0.10106121816207883,,,True,,,,,,,
analytic,local_expansion,17,,,,ok,True,0.888434919925785,0.001790956859551701,0.916969912090471,0,True,0.09426127288094241,0.09897895385791623,,,False,,,,,,,
analytic,boundary_sliding,17,,,,ok,True,0.6230088815692248,0.0012355935643154556,0.6326239049295133,0,True,0.22502187672325416,0.22502187672325416,,,True,,,,,,,
positive_tutte,directed_random,17,1701,0.25,,ok,True,,0.0010536409654547407,0.5394641743128272,0,True,0.2794150708678803,0.42220669669497524,0.07041499043149775,0.34413772254765224,True,,,,,,,
positive_tutte,directed_random,17,1702,0.25,,ok,True,,0.0007755526324449834,0.3970829478118315,0,True,0.3084758269326417,0.4059945762581006,0.07486354470222474,0.39942732349872506,True,,,,,,,
positive_tutte,directed_random,17,1703,0.25,,ok,True,,0.0010110677210346585,0.5176666731697451,0,True,0.2794685085751097,0.41845266141872356,0.07806869512747873,0.4012326095602533,True,,,,,,,
positive_tutte,directed_random,17,1701,1.0,,ok,True,,6.822470761377533e-05,0.03493105029825297,0,True,0.8413930428209284,0.9532204478186457,0.0021261422730065095,0.8929680341175202,True,,,,,,,
positive_tutte,directed_random,17,1702,1.0,,ok,True,,3.483514575802066e-05,0.017835594628106577,0,True,0.8815598326015485,0.9591188488531105,0.0016147754987457306,0.9270199899004091,True,,,,,,,
positive_tutte,directed_random,17,1703,1.0,,ok,True,,2.752267094323656e-05,0.014091607522937118,0,True,0.864098421413867,0.9707605214095101,0.0027440025927293545,0.95941241126104,True,,,,,,,
positive_tutte,directed_random,17,1701,3.0,,ok,True,,4.363868115493496e-09,2.23430047513267e-06,0,True,0.9994055901378353,0.9999969130370963,1.99716523978497e-08,0.9998797427154816,True,,,,,,,
