control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems,run_index,git_dirty,physical_gpu
17,1,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,27680256,33554432,1176752128,2.184826528234461,True,0.3172404207289219,0.1403998602181673,0.45770224183797836,8.996711399092494e-06,0,0.001186209426524698,True,unspecified,0,35,8.996599717647769e-06,unspecified,0,35,7.4423965088499244e-06,,8,8,23,False,6
17,1,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,112156160,134217728,1186402304,2.3101923925661993,True,0.3165426626801491,0.11626164242625237,0.4328643810003996,8.973666564579415e-06,0,0.001186209426524698,True,unspecified,0,35,8.968571819423232e-06,unspecified,0,35,7.374497272394365e-06,,8,8,24,False,6
17,4,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,20351488,23068672,1099796480,15.029518114357034,True,0.23065238259732723,0.0354187972843647,0.26614293083548546,8.393041100662527e-06,0,0.0011981918102570432,True,unspecified,0,35,8.385974069824442e-06,unspecified,0,35,9.598232281859964e-06,,8,8,25,False,6
17,4,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,81063424,102760448,1110827008,14.494479515239899,True,0.23160453885793686,0.0442916676402092,0.27596713602542877,8.403045664654694e-06,0,0.0011981918102570432,True,unspecified,0,35,8.40490702103125e-06,unspecified,0,35,9.545507964503486e-06,,8,8,26,False,6
17,4,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,66780672,92274688,1129693184,7.697908029978245,True,0.4574935846030712,0.06206381320953369,0.5196216925978661,8.907387760872825e-06,0,0.000988245257323328,True,unspecified,0,35,8.90842784428969e-06,unspecified,0,35,9.527249858365394e-06,,16,16,27,False,6
17,4,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,266534400,339738624,1154838528,7.2766479127300885,True,0.46431565284729004,0.08531745336949825,0.549703661352396,8.908627870001747e-06,0,0.000988245257323328,True,unspecified,0,35,8.912003977457061e-06,unspecified,0,35,9.506376954959705e-06,,16,16,28,False,6
17,4,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,105774592,113246208,1135591424,3.8900831473699418,True,0.9115012306720018,0.11668959073722363,1.02825565636158,8.878236388924349e-06,0,0.000988245257323328,True,unspecified,0,35,8.88499926077202e-06,unspecified,0,35,9.45833289733855e-06,,32,32,29,False,6
17,4,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,411434496,488636416,1182425088,3.811737756359709,True,0.9283420667052269,0.1209828220307827,1.049390135332942,8.89120691047871e-06,0,0.000988245257323328,True,unspecified,0,35,8.887935109669343e-06,unspecified,0,35,9.7446582003613e-06,,32,32,30,False,6
17,8,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,29854720,35651584,1100636160,17.165809424795764,True,0.4242111388593912,0.04175618477165699,0.4660426899790764,8.392420092714803e-06,0,0.0011981918102570432,True,unspecified,0,35,8.393656571570318e-06,unspecified,0,35,9.851794857240748e-06,,16,16,31,False,6
17,8,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,114683904,174063616,1111154688,16.543306633285937,True,0.4342463854700327,0.049227215349674225,0.4835792612284422,8.409807453979227e-06,0,0.0011981891924115473,True,unspecified,0,35,8.408786015934311e-06,unspecified,0,35,9.824296284932643e-06,,16,16,32,False,6
